扭矩,钻压 ,回转功率 ,给进功率,回转转速 
0.45,37,442,868,399.9
0.74,76,442,872,399.9
0.95,82,442,854,399.9
0.82,116,442,861,399.9
0.8,124,442,865,399.9
0.98,101,442,846,399.9
0.97,94,442,846,399.9
1.09,91,442,857,399.9
1.1,61,442,854,399.9
1.02,68,307,854,400
0.96,73,307,857,400
0.89,78,307,857,400
0.57,91,307,854,400
0.66,102,307,850,400
1.07,104,307,854,400
1.22,151,307,850,400
1.32,174,307,839,400
1.37,175,307,835,400
1.08,201,307,817,400
1.08,208,637,824,399.9
1.2,172,637,824,399.9
1.24,173,637,824,399.9
1.27,160,637,824,399.9
1.33,132,637,821,399.9
1.16,127,637,810,399.9
1.14,139,637,824,399.9
0.98,124,637,835,399.9
0.76,130,637,817,399.9
0.87,124,637,821,399.9
1.15,112,382,824,399.9
1.21,132,382,824,399.9
1.49,160,382,810,399.9
1.58,161,382,817,399.9
1.31,202,382,817,399.9
1.2,214,382,813,399.9
1.37,185,382,810,399.9
1.34,170,382,817,399.9
1.41,166,382,821,399.9
1.43,127,382,828,399.9
1.36,128,480,824,400
1.25,120,480,828,400
1.1,102,480,835,400
0.76,95,480,846,400
0.83,90,480,850,400
1.17,81,480,846,400
1.26,117,480,846,400
1.34,127,480,846,400
1.33,125,480,857,400
0.99,152,480,850,400
0.87,161,532,846,399.9
0.9,131,532,865,399.9
0.88,134,532,857,399.9
0.88,110,532,854,399.9
0.92,66,532,865,399.9
0.77,49,532,868,399.9
0.77,51,532,879,399.9
0.62,33,532,883,399.9
0.38,41,532,890,399.9
0.43,50,532,883,399.9
0.73,61,607,879,399.9
0.85,106,607,875,399.9
1.12,140,607,883,399.9
1.15,130,607,886,399.9
0.9,130,607,875,399.9
0.8,117,607,879,399.9
0.94,87,607,879,399.9
0.94,89,607,875,399.9
1.06,85,607,875,399.9
1.12,60,607,890,399.9
1.05,69,390,883,400.1
0.9,71,390,883,400.1
0.81,64,390,879,400.1
0.6,70,390,886,400.1
0.76,75,390,897,400.1
1.11,67,390,886,400.1
1.27,98,390,890,400.1
1.41,109,390,883,400.1
1.34,107,390,886,400.1
1.03,132,390,875,400.1
1.08,146,547,875,399.9
1.19,126,547,879,399.9
1.22,136,547,868,399.9
1.25,126,547,875,399.9
1.27,112,547,883,399.9
1.13,110,547,886,399.9
1.12,109,547,886,399.9
0.97,82,547,886,399.9
0.67,90,547,894,399.9
0.7,99,547,883,399.9
1.01,108,465,875,399.9
1.15,143,465,883,399.9
1.39,162,465,868,399.9
1.46,152,465,857,399.9
1.24,185,465,865,399.9
1.16,201,465,854,399.9
1.28,193,465,861,399.9
1.26,207,465,854,399.9
1.45,202,465,850,399.9
1.56,167,465,861,399.9
1.56,160,472,875,400
1.48,138,472,872,400
1.43,123,472,872,400
1.19,134,472,872,400
1.26,146,472,875,400
1.48,143,472,868,400
1.49,184,472,868,400
1.44,194,472,875,400
1.33,196,472,872,400
1.03,220,472,872,400
1.03,225,645,868,399.8
1.18,181,645,868,399.8
1.23,157,645,879,399.8
1.23,126,645,868,399.8
1.22,89,645,875,399.8
0.98,73,645,886,399.8
0.91,74,645,890,399.8
0.78,53,645,897,399.8
0.67,77,645,908,399.8
0.8,118,645,905,399.8
1.1,139,585,905,399.8
1.08,167,585,901,399.8
1.09,169,585,901,399.8
0.96,135,585,905,399.8
0.72,139,585,894,399.8
0.66,136,585,897,399.8
0.83,119,585,897,399.8
0.85,122,585,890,399.8
1.07,128,585,886,399.8
1.21,96,585,897,399.8
1.09,92,510,905,400
